part,x_mm,original_area_mm2,original_Iy_mm4,original_Iz_mm4,original_Zy_mm3,original_Zz_mm3,candidate_area_mm2,candidate_Iy_mm4,candidate_Iz_mm4,candidate_Zy_mm3,candidate_Zz_mm3
Under_arm_SO101,-26.5,677.040641579294,174370.96992626868,29434.5082576219,7581.344668392368,2452.872360576767,677.0406415792895,174370.9699262679,29434.508257621666,7581.344668392331,2452.872360576759
Under_arm_SO101,-25.5,821.040811976098,257901.424957891,36346.529480497,9919.285286578322,3028.873684862355,821.0408119760959,257901.42495789073,36346.52948049689,9919.28528657831,3028.873684862361
Under_arm_SO101,-24.5,821.0414575663181,257901.74323021172,36346.59932957485,9919.297232214434,3028.8791285243924,537.6677167011962,168355.64111683276,34883.43682695832,6475.216383547628,2906.9469883547454
Under_arm_SO101,-23.5,821.0420479415229,257902.04522616442,36346.66300180729,9919.30859807092,3028.8841504678026,452.26669936309224,141369.03507537767,33121.88814496569,5437.269750195975,2760.1500117647684
Under_arm_SO101,-22.5,821.0425831017118,257902.3309457742,36346.72049664578,9919.319384140472,3028.8887506366073,410.0991933500499,128044.21978424364,31884.410377287422,4924.77665339139,2657.0260770053064
Under_arm_SO101,-21.5,821.0430630468886,257902.60038906644,36346.77181353641,9919.329590415811,3028.8929289743455,391.3366219091553,122115.36498953452,31244.90234036272,4696.743621373773,2603.7333450597293
Under_arm_SO101,-20.5,821.043487777048,257902.8535560614,36346.816951924935,9919.339216889432,3028.896685424475,389.0434877770464,121390.85355605088,31162.816951605375,4668.877687115916,2596.892859114069
Under_arm_SO101,-19.5,821.0438572921946,257903.09044678046,36346.85591125628,9919.348263553922,3028.9000199303637,389.0438572921929,121391.09044676885,31162.855910948187,4668.886734209363,2596.896264766599
Under_arm_SO101,-18.5,821.0441715923253,257903.31106124082,36346.888690970605,9919.356730401692,3028.902932434925,391.3377304545939,122116.0756617064,31245.019217831723,4696.7707626323245,2603.743560405533
Under_arm_SO101,-17.5,821.044430677442,257903.51539945917,36346.91529050807,9919.364617425099,3028.9054228810414,410.10104092578206,128045.40423792477,31884.605171199946,4924.8218886120785,2657.0430815824393
Under_arm_SO101,-16.5,821.0446345475449,257903.70346145006,36346.93570930546,9919.371924616466,3028.9074912112696,452.2692859691165,141370.6933106597,33122.160852517234,5437.333078947778,2760.173755010681
Under_arm_SO101,-15.5,821.0447832026327,257903.8752472255,36346.94994679757,9919.378651968027,3028.9091373679594,537.6710423375149,168357.77313384457,34883.787444222486,6475.297805135443,2906.977365354479
Under_arm_SO101,-14.5,821.0448766427064,257904.03075679616,36346.95800241956,9919.384799471905,3028.910361293464,821.0448766427073,257904.03075679706,36346.95800241956,9919.384799471925,3028.910361293464
Under_arm_SO101,-13.5,821.0449148677651,257904.16999017043,36346.959875600995,9919.390367120197,3028.911162929605,821.0449148677664,257904.1699901714,36346.959875600645,9919.390367120232,3028.9111629295758
Under_arm_SO101,-12.5,821.0448978778094,257904.2929473552,36346.95556577039,9919.395354904933,3028.9115422180935,821.0448978778123,257904.2929473567,36346.955565771204,9919.395354904978,3028.9115422181667
Under_arm_SO101,-11.5,821.0448256728391,257904.39962835523,36346.94507235661,9919.39976281804,3028.9114991006327,821.0448256728413,257904.3996283565,36346.94507235661,9919.399762818086,3028.911499100634
Under_arm_SO101,-10.5,821.4236826606109,257931.4741912008,36364.16035439528,9920.441315046179,3030.346696199605,821.4356932799915,257932.1764797584,36364.43239087064,9920.468326144553,3030.369365905885
Under_arm_SO101,-9.5,826.3613536275689,258275.67966054345,36585.0608747066,9933.679986943975,3048.7550728922156,689.2173892031453,245451.73545241298,31483.021855237195,9440.451363553862,2623.585154603095
Under_arm_SO101,-8.5,837.2823239354159,259006.88437785994,37072.56033235125,9961.8032453023,3089.3800276959355,623.1615736845882,236122.69773097834,28380.183133111103,9081.642220421527,2365.0152610925675
Under_arm_SO101,-7.5,854.7062731530239,260090.18664785213,37847.89859178406,10003.46871722508,3153.9915493153367,586.7160079835224,230009.2587114687,26630.944828949287,8846.509950441092,2219.245402412439
Under_arm_SO101,-6.5,879.7584840981006,261475.4180081079,38952.46618097823,10056.746846465687,3246.0388484148502,565.5816989156615,226128.93308311107,25616.504727648222,8697.266657042725,2134.708727304016
Under_arm_SO101,-5.5,914.2827881600549,263075.043108106,40456.62799989327,10118.270888773304,3371.385666657771,555.769516523074,224240.79236885617,25145.525517249363,8624.645860340615,2095.460459770779
Under_arm_SO101,-4.5,962.2856351473034,264763.96411955485,42502.38665548654,10183.22938921364,3541.865554623876,554.5260040927363,223997.54848437023,25085.841275479994,8615.290326321929,2090.4867729566627
Under_arm_SO101,-3.5,1035.7287599190765,266339.1910254194,45470.06118089729,10243.815039439207,3789.171765074774,554.5260658520241,223997.5859194851,25085.84740520653,8615.291766134043,2090.4872837672096
Under_arm_SO101,-2.5,1171.1065801679051,267261.6934853762,50747.53683930775,10279.295903283697,4228.961403275646,554.5261064279375,223997.61077413443,25085.851328477263,8615.292722082093,2090.4876107064374
Under_arm_SO101,-1.5,1198.8539710933715,267614.0587459072,53730.8252799816,10292.848413304117,4477.568773331797,554.5261258204716,223997.62304851692,25085.85304524447,8615.293194173719,2090.48775377037
Under_arm_SO101,-0.5,1214.438263163181,267801.4863137535,55682.31786323944,10300.057165913595,4640.193155269951,554.5261240296323,223997.62274283412,25085.85255546111,8615.293182416692,2090.4877129550914
Under_arm_SO101,0.5,1222.8292912647807,267881.0014967718,56818.844568695175,10303.115442183525,4734.903714057926,554.5261010554142,223997.60985728403,25085.849859077833,8615.292686818606,2090.487488256485
Under_arm_SO101,1.5,1226.1536972931926,267900.68648543174,57288.369998959126,10303.872557131986,4774.030833246589,554.5260568978198,223997.5843920669,25085.844956046785,8615.291707387189,2090.487079670564
Under_arm_SO101,2.5,1226.5259915568463,267901.5463473798,57341.837846319424,10303.905628745375,4778.486487193285,554.5259915568495,223997.546347382,25085.83784631989,8615.290244130078,2090.486487193324
Under_arm_SO101,3.5,1226.525905032499,267901.49572342593,57341.82852984755,10303.903681670225,4778.485710820627,554.5259050325019,223997.49572342815,25085.828529847553,8615.288297054913,2090.4857108206293
Under_arm_SO101,4.5,1226.5257973247747,267901.43252040213,57341.81700658146,10303.90125078469,4778.484750548452,554.5257973247783,223997.43252040463,25085.817006581347,8615.285866169408,2090.4847505484418
Under_arm_SO101,5.5,1226.5256684336741,267901.3567385072,57341.80327647203,10303.898336096432,4778.483606372666,555.7746908716501,224241.71040162037,25145.756353495293,8624.681169293082,2095.479696124608
Under_arm_SO101,6.5,1226.5255183591971,267901.2683779396,57341.78733947128,10303.894937613057,4778.482278289271,565.6154883668261,226135.22849169193,25618.105899837916,8697.508788141991,2134.8421583198233
Under_arm_SO101,7.5,1226.525347101343,267901.16743889736,57341.7691955287,10303.891055342207,4778.480766294056,586.7269147864525,230011.06448330788,26631.44444441353,8846.579403204149,2219.287037034458
Under_arm_SO101,8.5,1226.525154660112,267901.0539215791,57341.74884459446,10303.886689291503,4778.479070382872,623.1795979854064,236125.39049512087,28381.16212420864,9081.745788273876,2365.0968436840535
Under_arm_SO101,9.5,1226.5249410355054,267900.92782618257,57341.72628661897,10303.88183946856,4778.477190551578,690.0172814588093,245558.82478234638,31589.35862693761,9444.570183936392,2632.446552244801
Under_arm_SO101,10.5,1226.3264354999123,267900.4118345861,57313.196846917504,10303.861993637925,4776.099737243123,1226.3264354999174,267900.4118345893,57313.196846917504,10303.861993638047,4776.099737243123
Under_arm_SO101,11.5,1223.6061513772202,267885.6816680843,56927.51287470176,10303.295448772471,4743.959406225146,1223.6061513772247,267885.6816680874,56927.512874702225,10303.29544877259,4743.959406225185
